Ticker,Company
OXY,Occidental Petroleum Corp
OKE,ONEOK Inc
CVX,Chevron Corp
COP,ConocoPhillips
XOM,Exxon Mobil Corp
PXD,Pioneer Natural Resources Co
VLO,Valero Energy Corp
DVN,Devon Energy Corp
HES,Hess Corp
MRO,Marathon Oil Corp
WMB,Williams Cos Inc/The
CTRA,Coterra Energy Inc
PSX,Phillips 66
APA,APA Corp
EOG,EOG Resources Inc
KMI,Kinder Morgan Inc
MPC,Marathon Petroleum Corp
FANG,Diamondback Energy Inc
PPL,PPL Corp
PNW,Pinnacle West Capital Corp
FE,FirstEnergy Corp
EIX,Edison International
SO,Southern Co/The
XEL,Xcel Energy Inc
EVRG,Evergy Inc
CEG,Constellation Energy Corp
AEP,American Electric Power Co Inc
LNT,Alliant Energy Corp
NRG,NRG Energy Inc
DUK,Duke Energy Corp
ETR,Entergy Corp
EXC,Exelon Corp
NEE,NextEra Energy Inc
ES,Eversource Energy
PEG,Public Service Enterprise Group Inc
AEE,Ameren Corp
SRE,Sempra Energy
DTE,DTE Energy Co
WEC,WEC Energy Group Inc
CMS,CMS Energy Corp
ED,Consolidated Edison Inc
D,Dominion Energy Inc
CNP,CenterPoint Energy Inc
NI,NiSource Inc
SLB,Schlumberger NV
BKR,Baker Hughes Co
HAL,Halliburton Co
ATO,Atmos Energy Corp
AES,AES Corp/The
